Fecha,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,La Libertad,Lambayeque,Lima,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martín,Tacna ,Tumbes,Ucayali,No registrado
2006-12-01,0.80297878,397.05328692,20.03656296,71.8056355,3.18728443,110.47404194,189.66257715,88.0906787099999,3.34731805,10.44394403,159.13762851,115.64508821,114.38628203,22.17672901,612.997853239967,5.30535376,0.40288942,261.05464532,182.29698587,138.82782098,12.52265327,8.389718,35.0782404999999,4.51576645,3.27915247,13.3973639727615
2007-01-01,0.39282937,194.59819861,0.0,89.47248787,4.32010119,77.61029758,94.6422081199999,21.08128148,6.08420734,0.11236175,158.15019123,119.23246469,97.8513637600002,13.42490941,503.987633609997,4.1520372,0.46978517,116.23820605,31.5198983,135.79356866,11.36516291,4.12921807,55.2940709100001,3.92047782,2.36314117,1.27670653665359
2007-02-01,0.0,296.85394256,0.0182121,109.02027524,7.53035186,83.99225691,142.40607883,19.40837771,1.55452395,0.33256,103.2701794,107.29255168,98.3598029600002,8.55629169,504.128710770001,7.098636,0.10386955,117.68560858,72.62114102,125.67552697,12.93539942,10.35522018,69.3265302699999,4.24106856,3.04664982,1.94301119200895
2007-03-01,0.01946,335.46182629,0.29445,160.83565215,0.1458,124.15768915,122.08957253,20.51165812,8.33728511,5.87495863,114.97150457,126.47792717,126.58280095,7.49521641,521.179296099996,4.16680794,1.5105402,100.42950344,66.21076013,96.2525312600001,9.39139608,3.55863353,101.31508924,5.49994624,2.90783615,33.8630556781914
2007-04-01,0.05668547,279.70615587,0.0,142.22511298,4.20648478,61.7068094,148.69653437,51.61243039,1.1967383,0.24223205,122.83401103,128.6703672,94.77514753,5.74276323,577.695348029998,4.48150452,0.17654902,224.8913696,96.90489735,96.6112553,11.65002757,1.10455785,56.4273057100001,4.79697823,2.87102204,0.467575316255079
2007-05-01,0.33301244,352.90322308,0.0,111.95013126,3.78239779,74.21931387,157.10612478,64.77134271,13.77854094,3.95026439,141.95408294,133.15352977,138.87380186,10.30867935,508.482312910004,9.38720385999999,0.44178604,182.94121364,67.88660903,101.40548207,18.02219215,3.74257542,37.4437298199999,5.13973471,2.10385003,0.482160624488642
2007-06-01,0.0,301.33837724,0.001865,234.08062865,0.58462672,77.80202555,158.69124416,67.6405442,10.8022015,6.64956334,138.08764728,130.20175678,101.25544352,10.22942959,638.645668329993,12.06869406,0.54541745,284.58210507,106.37463208,112.03082796,10.03067927,3.65447309,42.76356478,3.99481815,2.73742261,0.900047911059573
2007-07-01,0.23970195,417.81737576,0.0126,224.27810437,1.49368064,59.21092406,200.3883893,52.1745882,5.72099113,3.33367756,205.74803327,173.4217817,79.0582984100001,18.94747953,769.511136349995,7.59620549,0.7932721,195.39917397,65.24488292,134.02426288,13.25536388,27.89659638,48.26447949,5.20941045,2.98231042,0.273749054489599
2007-08-01,1.15308301,437.04934156,0.0,162.98160063,6.37828717,97.9984492,158.592246870001,56.48395815,12.32572564,7.72592556,127.06597146,128.02337761,113.22943148,28.60872969,560.028358739998,6.56608755,0.92855748,155.25210758,63.74087778,126.40035451,10.78966751,11.02521124,94.8319115899999,3.47214787,2.67296645,0.657629904593705
2007-09-01,0.63385046,301.56969695,0.0,241.67375429,7.39214505,109.97968297,143.46870103,11.81562626,3.24357888,1.7955525,138.94616179,133.78205759,141.22886614,25.65691426,640.731645420004,6.22739804,0.95651331,285.6472561,79.86289669,143.46784851,13.24093063,9.96130471,105.44861831,3.85657003,2.44760498,0.665267783048421
2007-10-01,0.44495738,412.78427576,0.01716488,143.65377644,2.42650592,80.78224793,183.95391908,111.71528593,12.53755301,5.81995405,188.98994188,153.35904971,111.08243856,20.62296468,777.317460029993,9.00942442,0.71102883,164.04518475,72.37572502,139.08755811,14.41157541,7.99056487,47.2735749599999,3.67142447,2.83993542,1.0350293611732
